,AUC,Pop Size,Group,animalID,Date,Session
0,0.525819687,5,Exp,mrcuts24,230803,230803_mrcuts24_fov1_grat
1,0.542628472,10,Exp,mrcuts24,230803,230803_mrcuts24_fov1_grat
2,0.557083752,15,Exp,mrcuts24,230803,230803_mrcuts24_fov1_grat
3,0.56496091,20,Exp,mrcuts24,230803,230803_mrcuts24_fov1_grat
4,0.572109243,25,Exp,mrcuts24,230803,230803_mrcuts24_fov1_grat
5,0.554366678,5,Exp,mrcuts24,230803,230803_mrcuts24_fov2_grat
6,0.60951542,10,Exp,mrcuts24,230803,230803_mrcuts24_fov2_grat
7,0.65126737,15,Exp,mrcuts24,230803,230803_mrcuts24_fov2_grat
8,0.675816577,20,Exp,mrcuts24,230803,230803_mrcuts24_fov2_grat
9,0.497317174,5,Exp,mrcuts25,230803,230803_mrcuts25_fov4_grat
10,0.508179025,10,Exp,mrcuts25,230803,230803_mrcuts25_fov4_grat
11,0.515248396,15,Exp,mrcuts25,230803,230803_mrcuts25_fov4_grat
12,0.523554106,20,Exp,mrcuts25,230803,230803_mrcuts25_fov4_grat
13,0.53085092,25,Exp,mrcuts25,230803,230803_mrcuts25_fov4_grat
14,0.53822617,30,Exp,mrcuts25,230803,230803_mrcuts25_fov4_grat
15,0.547526363,35,Exp,mrcuts25,230803,230803_mrcuts25_fov4_grat
16,0.553332712,40,Exp,mrcuts25,230803,230803_mrcuts25_fov4_grat
17,0.557776487,45,Exp,mrcuts25,230803,230803_mrcuts25_fov4_grat
18,0.564169725,50,Exp,mrcuts25,230803,230803_mrcuts25_fov4_grat
19,0.565605113,55,Exp,mrcuts25,230803,230803_mrcuts25_fov4_grat
20,0.557233728,5,Exp,mrcuts25,230803,230803_mrcuts25_fov5_grat
21,0.639057807,10,Exp,mrcuts25,230803,230803_mrcuts25_fov5_grat
22,0.7019364,15,Exp,mrcuts25,230803,230803_mrcuts25_fov5_grat
23,0.747916919,20,Exp,mrcuts25,230803,230803_mrcuts25_fov5_grat
24,0.78365048,25,Exp,mrcuts25,230803,230803_mrcuts25_fov5_grat
25,0.811242884,30,Exp,mrcuts25,230803,230803_mrcuts25_fov5_grat
26,0.829636385,35,Exp,mrcuts25,230803,230803_mrcuts25_fov5_grat
27,0.841411552,40,Exp,mrcuts25,230803,230803_mrcuts25_fov5_grat
28,0.851119592,45,Exp,mrcuts25,230803,230803_mrcuts25_fov5_grat
29,0.859200861,50,Exp,mrcuts25,230803,230803_mrcuts25_fov5_grat
30,0.562601595,5,Exp,mrcuts25,230803,230803_mrcuts25_fov6_grat
31,0.638919193,10,Exp,mrcuts25,230803,230803_mrcuts25_fov6_grat
32,0.691106218,15,Exp,mrcuts25,230803,230803_mrcuts25_fov6_grat
33,0.729446374,20,Exp,mrcuts25,230803,230803_mrcuts25_fov6_grat
34,0.755358683,25,Exp,mrcuts25,230803,230803_mrcuts25_fov6_grat
35,0.773298834,30,Exp,mrcuts25,230803,230803_mrcuts25_fov6_grat
36,0.786539799,35,Exp,mrcuts25,230803,230803_mrcuts25_fov6_grat
37,0.796659229,40,Exp,mrcuts25,230803,230803_mrcuts25_fov6_grat
38,0.804761574,45,Exp,mrcuts25,230803,230803_mrcuts25_fov6_grat
39,0.813653639,50,Exp,mrcuts25,230803,230803_mrcuts25_fov6_grat
40,0.535527044,5,Exp,mrcuts26,230804,230804_mrcuts26_fov3_grat
41,0.593990487,10,Exp,mrcuts26,230804,230804_mrcuts26_fov3_grat
42,0.634381714,15,Exp,mrcuts26,230804,230804_mrcuts26_fov3_grat
43,0.669470688,20,Exp,mrcuts26,230804,230804_mrcuts26_fov3_grat
44,0.692880709,25,Exp,mrcuts26,230804,230804_mrcuts26_fov3_grat
45,0.715265828,30,Exp,mrcuts26,230804,230804_mrcuts26_fov3_grat
46,0.73124666,35,Exp,mrcuts26,230804,230804_mrcuts26_fov3_grat
47,0.746140397,40,Exp,mrcuts26,230804,230804_mrcuts26_fov3_grat
48,0.757641952,45,Exp,mrcuts26,230804,230804_mrcuts26_fov3_grat
